code NAF,GS,Libellé NAF,Code A38
66.19B,GS5,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",KZ
66.21Z,GS5,Évaluation des risques et dommages,KZ
66.22Z,GS5,Activités des agents et courtiers d'assurances,KZ
66.29Z,GS5,Autres activités auxiliaires d'assurance et de caisses de retraite,KZ
66.30Z,GS5,Gestion de fonds,KZ
68.10Z,GS5,Activités des marchands de biens immobiliers,LZ
68.20A,GS5,Location de logements,LZ
68.20B,GS5,Location de terrains et d'autres biens immobiliers,LZ
68.31Z,GS5,Agences immobilières,LZ
68.32A,GS5,Administration d'immeubles et autres biens immobiliers,LZ
68.32B,GS5,Supports juridiques de gestion de patrimoine immobilier,LZ
69.10Z,GS5,Activités juridiques,MA
69.20Z,GS5,Activités comptables,MA
70.10Z,GS5,Activités des sièges sociaux,MA
70.21Z,GS5,Conseil en relations publiques et communication,MA
70.22Z,GS5,Conseil pour les affaires et autres conseils de gestion,MA
71.11Z,GS5,Activités d'architecture,MA
71.12A,GS5,Activité des géomètres,MA
71.12B,GS5,"Ingénierie, études techniques",MA
71.20A,GS5,Contrôle technique automobile,MA
71.20B,GS5,"Analyses, essais et inspections techniques",MA
72.11Z,GS5,Recherche-développement en biotechnologie,MB
72.19Z,GS5,Recherche-développement en autres sciences physiques et naturelles,MB
72.20Z,GS5,Recherche-développement en sciences humaines et sociales,MB
73.11Z,GS5,Activités des agences de publicité,MC
73.12Z,GS5,Régie publicitaire de médias,MC
73.20Z,GS5,Études de marché et sondages,MC
74.10Z,GS5,Activités spécialisées de design,MC
74.20Z,GS5,Activités photographiques,MC
74.30Z,GS5,Traduction et interprétation,MC
74.90A,GS5,Activité des économistes de la construction,MC
74.90B,GS5,"Activités spécialisées, scientifiques et techniques diverses",MC
75.00Z,GS5,Activités vétérinaires,MC
77.11A,GS5,Location de courte durée de voitures et de véhicules automobiles légers,NZ
77.11B,GS5,Location de longue durée de voitures et de véhicules automobiles légers,NZ
77.12Z,GS5,Location et location-bail de camions,NZ
77.21Z,GS5,Location et location-bail d'articles de loisirs et de sport,NZ
77.22Z,GS5,Location de vidéocassettes et disques vidéo,NZ
77.29Z,GS5,Location et location-bail d'autres biens personnels et domestiques,NZ
77.31Z,GS5,Location et location-bail de machines et équipements agricoles,NZ
77.32Z,GS5,Location et location-bail de machines et équipements pour la construction,NZ
77.33Z,GS5,Location et location-bail de machines de bureau et de matériel informatique,NZ
77.34Z,GS5,Location et location-bail de matériels de transport par eau,NZ
77.35Z,GS5,Location et location-bail de matériels de transport aérien,NZ
77.39Z,GS5,"Location et location-bail d'autres machines, équipements et biens matériels n.c.a.",NZ
77.40Z,GS5,"Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright",NZ
78.10Z,GS5,Activités des agences de placement de main-d'œuvre,NZ
78.20Z,GS5,Activités des agences de travail temporaire,NZ
78.30Z,GS5,Autre mise à disposition de ressources humaines,NZ
79.11Z,GS5,Activités des agences de voyage,NZ
79.12Z,GS5,Activités des voyagistes,NZ
79.90Z,GS5,Autres services de réservation et activités connexes,NZ
80.10Z,GS5,Activités de sécurité privée,NZ
80.20Z,GS5,Activités liées aux systèmes de sécurité,NZ
80.30Z,GS5,Activités d'enquête,NZ
81.10Z,GS5,Activités combinées de soutien lié aux bâtiments,NZ
81.21Z,GS5,Nettoyage courant des bâtiments,NZ
81.22Z,GS5,Autres activités de nettoyage des bâtiments et nettoyage industriel,NZ
81.29A,GS5,"Désinfection, désinsectisation, dératisation",NZ
81.29B,GS5,Autres activités de nettoyage n.c.a.,NZ
81.30Z,GS5,Services d'aménagement paysager,NZ
82.11Z,GS5,Services administratifs combinés de bureau,NZ
82.19Z,GS5,"Photocopie, préparation de documents et autres activités spécialisées de soutien de bureau",NZ
82.20Z,GS5,Activités de centres d'appels,NZ
82.30Z,GS5,"Organisation de foires, salons professionnels et congrès",NZ
82.91Z,GS5,Activités des agences de recouvrement de factures et des sociétés d'information financière sur la clientèle,NZ
82.92Z,GS5,Activités de conditionnement,NZ
82.99Z,GS5,Autres activités de soutien aux entreprises n.c.a.,NZ
84.11Z,GS7,Administration publique générale,OZ
84.12Z,GS7,"Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale",OZ
84.13Z,GS7,Administration publique (tutelle) des activités économiques,OZ
84.21Z,GS7,Affaires étrangères,OZ
84.22Z,GS7,Défense,OZ
84.23Z,GS7,Justice,OZ
84.24Z,GS7,Activités d'ordre public et de sécurité,OZ
84.25Z,GS7,Services du feu et de secours,OZ
84.30A,GS7,Activités générales de sécurité sociale,OZ
84.30B,GS7,Gestion des retraites complémentaires,OZ
84.30C,GS7,Distribution sociale de revenus,OZ
85.10Z,GS7,Enseignement pré-primaire,PZ
85.20Z,GS7,Enseignement primaire,PZ
85.31Z,GS7,Enseignement secondaire général,PZ
85.32Z,GS7,Enseignement secondaire technique ou professionnel,PZ
85.41Z,GS7,Enseignement post-secondaire non supérieur,PZ
85.42Z,GS7,Enseignement supérieur,PZ
85.51Z,GS7,Enseignement de disciplines sportives et d'activités de loisirs,PZ
85.52Z,GS7,Enseignement culturel,PZ
85.53Z,GS7,Enseignement de la conduite,PZ
85.59A,GS7,Formation continue d'adultes,PZ
85.59B,GS7,Autres enseignements,PZ
85.60Z,GS7,Activités de soutien à l'enseignement,PZ
86.10Z,GS7,Activités hospitalières,QA
86.21Z,GS7,Activité des médecins généralistes,QA
86.22A,GS7,Activités de radiodiagnostic et de radiothérapie,QA
86.22B,GS7,Activités chirurgicales,QA
86.22C,GS7,Autres activités des médecins spécialistes,QA
86.23Z,GS7,Pratique dentaire,QA
86.90A,GS7,Ambulances,QA
86.90B,GS7,Laboratoires d'analyses médicales,QA
86.90C,GS7,Centres de collecte et banques d'organes,QA
86.90D,GS7,Activités des infirmiers et des sages-femmes,QA
86.90E,GS7,"Activités des professionnels de la rééducation, de l'appareillage et des pédicures-podologues",QA
86.90F,GS7,Activités de santé humaine non classées ailleurs,QA
87.10A,GS7,Hébergement médicalisé pour personnes âgées,QB
87.10B,GS7,Hébergement médicalisé pour enfants handicapés,QB
87.10C,GS7,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé,QB
87.20A,GS7,Hébergement social pour handicapés mentaux et malades mentaux,QB
87.20B,GS7,Hébergement social pour toxicomanes,QB
87.30A,GS7,Hébergement social pour personnes âgées,QB
87.30B,GS7,Hébergement social pour handicapés physiques,QB
87.90A,GS7,Hébergement social pour enfants en difficultés,QB
87.90B,GS7,Hébergement social pour adultes et familles en difficultés et autre hébergement social,QB
88.10A,GS7,Aide à domicile,QB
88.10B,GS7,Accueil ou accompagnement sans hébergement d'adultes handicapés ou de personnes âgées,QB
88.10C,GS7,Aide par le travail,QB
88.91A,GS7,Accueil de jeunes enfants,QB
88.91B,GS7,Accueil ou accompagnement sans hébergement d'enfants handicapés,QB
88.99A,GS7,Autre accueil ou accompagnement sans hébergement d'enfants et d'adolescents,QB
88.99B,GS7,Action sociale sans hébergement n.c.a.,QB
90.01Z,GS5,Arts du spectacle vivant,RZ
90.02Z,GS5,Activités de soutien au spectacle vivant,RZ
90.03A,GS5,Création artistique relevant des arts plastiques,RZ
90.03B,GS5,Autre création artistique,RZ
90.04Z,GS5,Gestion de salles de spectacles,RZ
91.01Z,GS5,Gestion des bibliothèques et des archives,RZ
91.02Z,GS5,Gestion des musées,RZ
91.03Z,GS5,Gestion des sites et monuments historiques et des attractions touristiques similaires,RZ
91.04Z,GS5,Gestion des jardins botaniques et zoologiques et des réserves naturelles,RZ
92.00Z,GS5,Organisation de jeux de hasard et d'argent,RZ
93.11Z,GS5,Gestion d'installations sportives,RZ
93.12Z,GS5,Activités de clubs de sports,RZ
93.13Z,GS5,Activités des centres de culture physique,RZ
93.19Z,GS5,Autres activités liées au sport,RZ
93.21Z,GS5,Activités des parcs d'attractions et parcs à thèmes,RZ
93.29Z,GS5,Autres activités récréatives et de loisirs,RZ
94.11Z,GS5,Activités des organisations patronales et consulaires,SZ
94.12Z,GS5,Activités des organisations professionnelles,SZ
94.20Z,GS5,Activités des syndicats de salariés,SZ
94.91Z,GS5,Activités des organisations religieuses,SZ
94.92Z,GS5,Activités des organisations politiques,SZ
94.99Z,GS5,Autres organisations fonctionnant par adhésion volontaire,SZ
95.11Z,GS5,Réparation d'ordinateurs et d'équipements périphériques,SZ
95.12Z,GS5,Réparation d'équipements de communication,SZ
95.21Z,GS5,Réparation de produits électroniques grand public,SZ
95.22Z,GS5,Réparation d'appareils électroménagers et d'équipements pour la maison et le jardin,SZ
95.23Z,GS5,Réparation de chaussures et d'articles en cuir,SZ
95.24Z,GS5,Réparation de meubles et d'équipements du foyer,SZ
95.25Z,GS5,Réparation d'articles d'horlogerie et de bijouterie,SZ
95.29Z,GS5,Réparation d'autres biens personnels et domestiques,SZ
96.01A,GS5,Blanchisserie-teinturerie de gros,SZ
96.01B,GS5,Blanchisserie-teinturerie de détail,SZ
96.02A,GS5,Coiffure,SZ
96.02B,GS5,Soins de beauté,SZ
96.03Z,GS5,Services funéraires,SZ
96.04Z,GS5,Entretien corporel,SZ
96.09Z,GS5,Autres services personnels n.c.a.,SZ
97.00Z,#N/A,Activités des ménages en tant qu'employeurs de personnel domestique,TZ
98.10Z,#N/A,Activités indifférenciées des ménages en tant que producteurs de biens pour usage propre,TZ
98.20Z,#N/A,Activités indifférenciées des ménages en tant que producteurs de services pour usage propre,TZ
99.00Z,#N/A,Activités des organisations et organismes extraterritoriaux,UZ
